,feature_code,x,y,z
210223,701,5056545.65,2359014.561,1796.234
63450,701,5056544.404,2359014.564,1786.121
62123,701,5056547.898,2359014.568,1780.304
62685,701,5056546.814,2359014.573,1787.902
64014,701,5056543.081,2359014.574,1788.604
62122,701,5056547.903,2359014.575,1781.392
63994,701,5056543.355,2359014.598,1784.929
62446,701,5056547.18,2359014.601,1786.267
62967,701,5056546.081,2359014.605,1786.522
63995,701,5056543.334,2359014.608,1781.166
210224,701,5056545.744,2359014.635,1796.229
62393,701,5056547.66,2359014.636,1783.112
210710,701,5056543.873,2359014.639,1796.123
62125,701,5056547.995,2359014.64,1780.141
210436,701,5056544.573,2359014.64,1796.23
62686,701,5056546.905,2359014.646,1788.01
